"Rk","Pick","Team","Player","Draft"
"22","22","CHA","Jared Dudley",2007
"23","23","NYK","Wilson Chandler",2007
"24","24","PHO","Rudy Fernandez",2007
"25","25","UTA","Morris Almond",2007
"26","26","HOU","Aaron Brooks",2007
"27","27","DET","Arron Afflalo",2007
"28","28","SAS","Tiago Splitter",2007
"29","29","PHO","Alando Tucker",2007
"30","30","PHI","Petteri Koponen",2007
"31","31","SEA","Carl Landry",2007
"32","32","BOS","Gabe Pruitt",2007
"33","33","SAS","Marcus Williams",2007
"34","34","DAL","Nick Fazekas",2007
"35","35","SEA","Glen Davis",2007
"36","36","GSW","Jermareo Davidson",2007
"37","37","POR","Josh McRoberts",2007
"38","38","PHI","Kyrylo Fesenko",2007
"39","39","MIA","Stanko Barac",2007
"40","40","LAL","Sun Yue",2007
"41","41","MIN","Chris Richard",2007
"42","42","POR","Derrick Byars",2007
"43","43","NOK","Adam Haluska",2007
"44","44","ORL","Reyshawn Terry",2007
"45","45","LAC","Jared Jordan",2007
"46","46","GSW","Stephane Lasme",2007
"47","47","WAS","Dominic McGuire",2007
"48","48","LAL","Marc Gasol",2007
"49","49","CHI","Aaron Gray",2007
"50","50","DAL","Renaldas Seibutis",2007
"51","51","CHI","JamesOn Curry",2007
"52","52","POR","Taurean Green",2007
"53","53","POR","Demetris Nichols",2007
"54","54","HOU","Brad Newley",2007
"55","55","UTA","Herbert Hill",2007
"56","56","MIL","Ramon Sessions",2007
"57","57","DET","Sammy Mejia",2007
"58","58","SAS","Giorgos Printezis",2007
"59","59","PHO","D.J. Strawberry",2007
"60","60","DAL","Milovan Rakovic",2007
"1","1","CHI","Derrick Rose",2008
"2","2","MIA","Michael Beasley",2008
"3","3","MIN","O.J. Mayo",2008
"4","4","SEA","Russell Westbrook",2008
"5","5","MEM","Kevin Love",2008
"6","6","NYK","Danilo Gallinari",2008
"7","7","LAC","Eric Gordon",2008
"8","8","MIL","Joe Alexander",2008
"9","9","CHA","D.J. Augustin",2008
"10","10","NJN","Brook Lopez",2008
"11","11","IND","Jerryd Bayless",2008
"12","12","SAC","Jason Thompson",2008
"13","13","POR","Brandon Rush",2008
"14","14","GSW","Anthony Randolph",2008
"15","15","PHO","Robin Lopez",2008
"16","16","PHI","Marreese Speights",2008
"17","17","TOR","Roy Hibbert",2008
"18","18","WAS","JaVale McGee",2008
"19","19","CLE","J.J. Hickson",2008
"20","20","CHA","Alexis Ajinca",2008
"21","21","NJN","Ryan Anderson",2008
"22","22","ORL","Courtney Lee",2008
"23","23","UTA","Kosta Koufos",2008
"24","24","SEA","Serge Ibaka",2008
"25","25","HOU","Nicolas Batum",2008
"26","26","SAS","George Hill",2008
"27","27","NOH","Darrell Arthur",2008
"28","28","MEM","Donte Greene",2008
"29","29","DET","D.J. White",2008
"30","30","BOS","J.R. Giddens",2008
"31","31","MIN","Nikola Pekovic",2008
"32","32","SEA","Walter Sharpe",2008
"33","33","POR","Joey Dorsey",2008
"34","34","MIN","Mario Chalmers",2008
"35","35","LAC","DeAndre Jordan",2008
"36","36","POR","Omer Asik",2008
"37","37","MIL","Luc Mbah a Moute",2008
"38","38","CHA","Kyle Weaver",2008
"39","39","CHI","Sonny Weems",2008
"40","40","NJN","Chris Douglas-Roberts",2008
"41","41","IND","Nathan Jawai",2008
"42","42","SAC","Sean Singletary",2008
"43","43","SAC","Patrick Ewing",2008
"44","44","UTA","Ante Tomic",2008
"45","45","SAS","Goran Dragic",2008
"46","46","SEA","Trent Plaisted",2008
"47","47","WAS","Bill Walker",2008
"48","48","PHO","Malik Hairston",2008
"49","49","GSW","Richard Hendrix",2008
"50","50","SEA","DeVon Hardin",2008
"51","51","DAL","Shan Foster",2008
"52","52","MIA","Darnell Jackson",2008
"53","53","UTA","Tadija Dragicevic",2008
"54","54","HOU","Maarty Leunen",2008
"55","55","POR","Mike Taylor",2008
"56","56","SEA","Sasha Kaun",2008
"57","57","SAS","James Gist",2008
"58","58","LAL","Joe Crawford",2008
"59","59","DET","Deron Washington",2008
"60","60","BOS","Semih Erden",2008
"1","1","LAC","Blake Griffin",2009
"2","2","MEM","Hasheem Thabeet",2009
"3","3","OKC","James Harden",2009
"4","4","SAC","Tyreke Evans",2009
"5","5","MIN","Ricky Rubio",2009
"6","6","MIN","Jonny Flynn",2009
"7","7","GSW","Stephen Curry",2009
"8","8","NYK","Jordan Hill",2009
"9","9","TOR","DeMar DeRozan",2009
"10","10","MIL","Brandon Jennings",2009
"11","11","NJN","Terrence Williams",2009
"12","12","CHA","Gerald Henderson",2009
"13","13","IND","Tyler Hansbrough",2009
