"Player","Depth","Team","teamAbbr","total_MP","G","GS","GSpct","MP_per_game","WS","BPM","Pick","imputed"
"J. Hernangomez",3,"Denver","DEN",1119,87,12,0.137931034482759,12.8620689655172,1.45344057193923,-1.79508489722967,15,0
"T. Lydon",3,"Denver","DEN",2,1,0,0,2,0,-6.5,24,0
"D. Akoon-Purcell",3,"Denver","DEN",185.82740740784,21.9731095205496,0.546647591242658,0.0248780260586889,8.45703732710435,0.247544479905499,-5.20835336835175,60,1
"T. Welsh",3,"Denver","DEN",208.706626503238,23.9542464301577,0.503462407764771,0.0210176683801218,8.71271935486488,0.227395071041565,-4.95929955010327,58,1
"M. Porter Jr.",4,"Denver","DEN",993.597513642565,60.6006590999984,9.14479213253935,0.150902519351305,16.3958202501232,0.961024244610562,-2.87838729197541,14,1
"J. Vanderbilt",4,"Denver","DEN",427.688853860298,37.1945889162765,0.83198574759004,0.0223684619680246,11.4986847904949,0.353210386141649,-3.36685944709079,41,1
"R. Jackson",1,"Detroit","DET",5049,176,174,0.988636363636364,28.6875,4.32426223014458,0.35256486432957,0,0
"R. Bullock",1,"Detroit","DET",2628,130,57,0.438461538461538,20.2153846153846,3.14162861491629,0.479109589041096,0,0
"S. Johnson",1,"Detroit","DET",4952,219,57,0.26027397260274,22.6118721461187,1.00359450726979,-2.01316639741519,0,0
"B. Griffin",1,"Detroit","DET",5216,154,154,1,33.8701298701299,5.7676763803681,3.54896472392638,0,0
"A. Drummond",1,"Detroit","DET",7700,240,240,1,32.0833333333333,8.16963636363636,1.98345454545455,0,0
"I. Smith",2,"Detroit","DET",6237,240,120,0.5,25.9875,2.87965367965368,-1.25411255411255,0,0
"L. Kennard",2,"Detroit","DET",1463,73,9,0.123287671232877,20.041095890411,2.6,-1.5,12,0
"G. Robinson III",2,"Detroit","DET",2273,137,32,0.233576642335766,16.5912408759124,1.8375274967004,-1.75428948526177,0,0
"H. Ellenson",2,"Detroit","DET",475,57,2,0.0350877192982456,8.33333333333333,0.00778947368421053,-7.23031578947368,18,0
"Z. Pachulia",2,"Detroit","DET",4244,215,196,0.911627906976744,19.7395348837209,4.99321394910462,1.65098963242224,0,0
"J. Calderon",3,"Detroit","DET",3477,170,117,0.688235294117647,20.4529411764706,2.84811619211964,-1.28625251653724,0,0
"L. Galloway",3,"Detroit","DET",4391,214,11,0.0514018691588785,20.518691588785,2.24563880664997,-1.40453199726714,0,0
"J. Leuer",3,"Detroit","DET",3335,150,61,0.406666666666667,22.2333333333333,3.6432083958021,-0.558620689655172,0,0
"K. Thomas",3,"Detroit","DET",433.651776524603,38.4924752975306,0.905467017008029,0.0235232213571393,11.2658843883813,0.400356247858064,-3.44601058534133,38,1
"B. Brown",4,"Detroit","DET",238,45,0,0,5.28888888888889,-0.0449579831932773,-8.42142857142857,42,0
"Stephen Curry",1,"Golden State","GSW",6969,209,209,1,33.3444976076555,13.8342516860382,9.61888362749318,0,0
"K. Thompson",1,"Golden State","GSW",7821,231,231,1,33.8571428571429,6.70186676895538,0.14797340493543,0,0
"K. Durant",1,"Golden State","GSW",6973,202,202,1,34.519801980198,12.3907930589416,7.16279936899469,0,0
"Draymond Green",1,"Golden State","GSW",7566,227,227,1,33.3303964757709,8.64151467089611,4.88345228654507,0,0
"J. Bell",1,"Golden State","GSW",809,57,13,0.228070175438596,14.1929824561404,2.9,3.7,38,0
"S. Livingston",2,"Golden State","GSW",3994,225,13,0.0577777777777778,17.7511111111111,3.13500250375563,-1.85315473209815,0,0
"A. Iguodala",2,"Golden State","GSW",5352,205,8,0.0390243902439024,26.1073170731707,4.96961883408072,1.698355754858,0,0
"K. Looney",2,"Golden State","GSW",1378,124,8,0.0645161290322581,11.1129032258065,2.30471698113208,0.777431059506531,0,0
"Damian Jones",2,"Golden State","GSW",174,25,0,0,6.96,0.0511494252873563,-8.06551724137931,0,0
"Jacob Evans",2,"Golden State","GSW",509.074597224344,41.634666416347,1.53724554717193,0.0369222496416678,12.2271808817583,0.437435317018427,-3.51514605074455,28,1
"Q. Cook",3,"Golden State","GSW",928,47,18,0.382978723404255,19.7446808510638,1.31637931034483,-2.94956896551724,0,0
"J. Jerebko",3,"Golden State","GSW",3542,230,25,0.108695652173913,15.4,2.61581027667984,-1.58656126482213,0,0
"D. Cousins",3,"Golden State","GSW",6448,185,185,1,34.8540540540541,6.15696339950372,4.9103753101737,0,0
"D. Lee",4,"Golden State","GSW",2784,149,26,0.174496644295302,18.6845637583893,4.05513649425287,1.84705459770115,0,0
"C. Paul",1,"Houston","HOU",6188,193,193,1,32.0621761658031,11.3018745959922,7.90150290885585,0,0
"J. Harden",1,"Houston","HOU",8623,235,235,1,36.6936170212766,14.5022497970544,9.10449959410878,0,0
"C. Anthony",1,"Houston","HOU",7569,224,224,1,33.7901785714286,4.93781212841855,-0.621270973708548,0,0
"M. Chriss",1,"Houston","HOU",3270,154,124,0.805194805194805,21.2337662337662,1.28633027522936,-1.78678899082569,8,0
"C. Capela",1,"Houston","HOU",5056,216,168,0.777777777777778,23.4074074074074,7.19345332278481,1.6284414556962,0,0
"M. Carter-Williams",2,"Houston","HOU",3330,151,58,0.384105960264901,22.0529801324503,0.870720720720721,-1.15633633633634,0,0
"E. Gordon",2,"Houston","HOU",5958,189,89,0.470899470899471,31.5238095238095,3.70280295401141,-1.05652903658946,0,0
"P. Tucker",2,"Houston","HOU",7057,245,135,0.551020408163265,28.8040816326531,3.66097491852062,0.50111945585943,0,0
"J. Ennis III",2,"Houston","HOU",3434,158,55,0.348101265822785,21.7341772151899,2.88922539312755,-0.283867210250437,0,0
"N. Hilario",2,"Houston","HOU",3050,176,23,0.130681818181818,17.3295454545455,3.22504918032787,0.0693114754098361,0,0
"B. Knight",3,"Houston","HOU",3010,106,55,0.518867924528302,28.3962264150943,1.16976744186047,-1.8906976744186,0,0
"G. Green",3,"Houston","HOU",3024,157,16,0.101910828025478,19.2611464968153,1.62718253968254,-2.9645171957672,0,0
"Z. Qi",3,"Houston","HOU",124,18,0,0,6.88888888888889,-0.3,-7.2,43,0
"D. Collison",1,"Indiana","IND",6300,211,143,0.677725118483412,29.8578199052133,5.54306349206349,0.0726190476190477,0,0
"V. Oladipo",1,"Indiana","IND",7153,214,194,0.906542056074766,33.4252336448598,5.83345449461764,1.94301691597931,0,0
"Bojan Bogdanovic",1,"Indiana","IND",6662,240,173,0.720833333333333,27.7583333333333,3.18970279195437,-2.2450465325728,0,0
"Thaddeus Young",1,"Indiana","IND",7251,228,228,1,31.8026315789474,4.75760584746931,1.00441318438836,0,0
"M. Turner",1,"Indiana","IND",5744,206,173,0.839805825242718,27.8834951456311,5.77905640668524,0.738074512534819,0,0
"C. Joseph",2,"Indiana","IND",6259,242,43,0.177685950413223,25.8636363636364,3.32676146349257,-1.00661447515578,0,0
"T. Evans",2,"Indiana","IND",3160,117,63,0.538461538461538,27.008547008547,2.6493670886076,2.01787974683544,0,0
"D. McDermott",2,"Indiana","IND",5137,228,13,0.0570175438596491,22.530701754386,2.56920381545649,-2.97650379598988,0,0
"D. Sabonis",2,"Indiana","IND",3442,155,85,0.548387096774194,22.2064516129032,2.85084253341081,-2.38105752469494,11,0
