Player,Depth,Team,teamAbbr
R. Gay,1,San Antonio,SAS
L. Aldridge,1,San Antonio,SAS
P. Gasol,1,San Antonio,SAS
P. Mills,2,San Antonio,SAS
B. Forbes,2,San Antonio,SAS
M. Belinelli,2,San Antonio,SAS
D. Bertans,2,San Antonio,SAS
J. Poeltl,2,San Antonio,SAS
D. White,3,San Antonio,SAS
L. Walker IV,3,San Antonio,SAS
Q. Pondexter,3,San Antonio,SAS
D. Cunningham,3,San Antonio,SAS
C. Metu,4,San Antonio,SAS
K. Lowry,1,Toronto,TOR
D. Green,1,Toronto,TOR
K. Leonard,1,Toronto,TOR
S. Ibaka,1,Toronto,TOR
J. Valanciunas,1,Toronto,TOR
D. Wright,2,Toronto,TOR
C. Miles,2,Toronto,TOR
O. Anunoby,2,Toronto,TOR
P. Siakam,2,Toronto,TOR
G. Monroe,2,Toronto,TOR
F. VanVleet,3,Toronto,TOR
M. Richardson,3,Toronto,TOR
N. Powell,3,Toronto,TOR
L. Brown,4,Toronto,TOR
J. Loyd,4,Toronto,TOR
R. Rubio,1,Utah,UTA
D. Mitchell,1,Utah,UTA
J. Ingles,1,Utah,UTA
D. Favors,1,Utah,UTA
R. Gobert,1,Utah,UTA
D. Exum,2,Utah,UTA
A. Burks,2,Utah,UTA
R. O'Neale,2,Utah,UTA
J. Crowder,2,Utah,UTA
E. Udoh,2,Utah,UTA
R. Neto,3,Utah,UTA
G. Allen,3,Utah,UTA
T. Sefolosha,3,Utah,UTA
G. Niang,3,Utah,UTA
T. Bradley,3,Utah,UTA
T. Cavanaugh,4,Utah,UTA
J. Wall,1,Washington,WAS
B. Beal,1,Washington,WAS
O. Porter Jr.,1,Washington,WAS
M. Morris,1,Washington,WAS
D. Howard,1,Washington,WAS
T. Satoransky,2,Washington,WAS
A. Rivers,2,Washington,WAS
K. Oubre Jr.,2,Washington,WAS
J. Green,2,Washington,WAS
I. Mahinmi,2,Washington,WAS
J. Meeks,3,Washington,WAS
T. Brown Jr.,3,Washington,WAS
J. Smith,3,Washington,WAS
T. Bryant,3,Washington,WAS
J. McRae,4,Washington,WAS
